i,start_time,deployment_start,deployment_end,pod_start,pod_end,end_time,total_time,deployment_time,pod_ready_time
178,1736063257243421000,1736063257257897000,1736063257903126000,1736063257908709000,1736063262906490000,1736063262910203000,5666,645,4997
179,1736063257246185000,1736063257258302000,1736063257999374000,1736063258002439000,1736063263974048000,1736063263977297000,6731,741,5971
175,1736063257244316000,1736063257257992000,1736063257995010000,1736063257998418000,1736063264929566000,1736063264933187000,7688,737,6931
177,1736063257245719000,1736063257258552000,1736063257839678000,1736063257846604000,1736063265872386000,1736063265876593000,8630,581,8025
184,1736063267273728000,1736063267285360000,1736063267975887000,1736063267980842000,1736063269047848000,1736063269051554000,1777,690,1067
181,1736063267264528000,1736063267285152000,1736063267992302000,1736063267997087000,1736063269984269000,1736063269987758000,2723,707,1987
182,1736063267264169000,1736063267284523000,1736063267996920000,1736063268001467000,1736063269987745000,1736063269990784000,2726,712,1986
180,1736063267264702000,1736063267281409000,1736063267857388000,1736063267860565000,1736063270962096000,1736063270965107000,3700,575,3101
183,1736063267265356000,1736063267278447000,1736063267855296000,1736063267859596000,1736063271955120000,1736063271959083000,4693,576,4095
185,1736063267278478000,1736063267287176000,1736063267850919000,1736063267857212000,1736063273045582000,1736063273048723000,5770,563,5188
189,1736063267283191000,1736063267291298000,1736063267917280000,1736063267924178000,1736063273983605000,1736063273988548000,6705,625,6059
188,1736063267282245000,1736063267291324000,1736063267909636000,1736063267915388000,1736063273983640000,1736063273988547000,6706,618,6068
186,1736063267284309000,1736063267294713000,1736063268030705000,1736063268036671000,1736063275058708000,1736063275062418000,7778,735,7022
187,1736063267285139000,1736063267295509000,1736063268026889000,1736063268030984000,1736063275973832000,1736063275977773000,8692,731,7942
194,1736063277320194000,1736063277331614000,1736063277960244000,1736063277966027000,1736063279050874000,1736063279054297000,1734,628,1084
190,1736063277305169000,1736063277325883000,1736063277916433000,1736063277922601000,1736063280056873000,1736063280061272000,2756,590,2134
193,1736063277305698000,1736063277323617000,1736063277896972000,1736063277903673000,1736063280159891000,1736063280162795000,2857,573,2256
198,1736063277323658000,1736063277334446000,1736063277939876000,1736063277954836000,1736063281053494000,1736063281056259000,3732,605,3098
192,1736063277306035000,1736063277325628000,1736063278022002000,1736063278026697000,1736063282167019000,1736063282171451000,4865,696,4140
195,1736063277325395000,1736063277337914000,1736063277997296000,1736063278001860000,1736063283087149000,1736063283090386000,5764,659,5085
191,1736063277305445000,1736063277325153000,1736063278035261000,1736063278040808000,1736063283204390000,1736063283207247000,5901,710,5163
199,1736063277324156000,1736063277335348000,1736063278062084000,1736063278069135000,1736063284118033000,1736063284121256000,6797,726,6048
196,1736063277325317000,1736063277336601000,1736063278032626000,1736063278038678000,1736063285198667000,1736063285202089000,7876,696,7159
197,1736063277326322000,1736063277337266000,1736063278091677000,1736063278095561000,1736063286124251000,1736063286127730000,8801,754,8028
207,1736063287365247000,1736063287371967000,1736063287969219000,1736063287974903000,1736063289226742000,1736063289231931000,1866,597,1251
203,1736063287348055000,1736063287365218000,1736063287920397000,1736063287925899000,1736063290183970000,1736063290188016000,2839,555,2258
204,1736063287349062000,1736063287367248000,1736063287960485000,1736063287968055000,1736063290210857000,1736063290214440000,2865,593,2242
201,1736063287343434000,1736063287367807000,1736063287974457000,1736063287979534000,1736063291289445000,1736063291292957000,3949,606,3309
202,1736063287343872000,1736063287367548000,1736063287986649000,1736063287992091000,1736063292177111000,1736063292181952000,4838,619,4185
209,1736063287367838000,1736063287379792000,1736063287969693000,1736063287975032000,1736063293203645000,1736063293207650000,5839,589,5228
200,1736063287343375000,1736063287367419000,1736063288053310000,1736063288057440000,1736063293203673000,1736063293207647000,5864,685,5146
205,1736063287363857000,1736063287370563000,1736063288070751000,1736063288074937000,1736063294180675000,1736063294183717000,6819,700,6105
208,1736063287367918000,1736063287380106000,1736063288091879000,1736063288097180000,1736063295266237000,1736063295269257000,7901,711,7169
206,1736063287366982000,1736063287377300000,1736063288085351000,1736063288088862000,1736063296217582000,1736063296221904000,8854,708,8128
213,1736063297385822000,1736063297404175000,1736063301005872000,1736063301010419000,1736063301057230000,1736063301061615000,3675,3601,46
211,1736063297383821000,1736063297403037000,1736063300947593000,1736063300952219000,1736063301304640000,1736063301307583000,3923,3544,352
212,1736063297383883000,1736063297404636000,1736063300963340000,1736063300968371000,1736063302215847000,1736063302219087000,4835,3558,1247
215,1736063297403841000,1736063297416227000,1736063300945937000,1736063300950269000,1736063303213173000,1736063303217367000,5813,3529,2262
217,1736063297404137000,1736063297417591000,1736063300943804000,1736063300950157000,1736063303357328000,1736063303360865000,5956,3526,2407
219,1736063297403499000,1736063297416830000,1736063301064920000,1736063301069295000,1736063304257276000,1736063304261551000,6858,3648,3187
214,1736063297403590000,1736063297416538000,1736063301015447000,1736063301020334000,1736063305345923000,1736063305349660000,7946,3598,4325
218,1736063297402267000,1736063297413000000,1736063300899043000,1736063300905474000,1736063306144924000,1736063306148374000,8746,3486,5239
210,1736063297383642000,1736063297402324000,1736063300898994000,1736063300905457000,1736063306144849000,1736063306148269000,8764,3496,5239
216,1736063297404247000,1736063297416649000,1736063301061575000,1736063301065260000,1736063306288887000,1736063306291894000,8887,3644,5223
220,1736063307419551000,1736063307441883000,1736063307990485000,1736063307997296000,1736063309363704000,1736063309366702000,1947,548,1366
224,1736063307426450000,1736063307440436000,1736063308018724000,1736063308024650000,1736063310279665000,1736063310282536000,2856,578,2255
221,1736063307419552000,1736063307441204000,1736063308079697000,1736063308085206000,1736063310363182000,1736063310366836000,2947,638,2277
222,1736063307419931000,1736063307440436000,1736063308101326000,1736063308106450000,1736063311439985000,1736063311443802000,4023,660,3333
223,1736063307424817000,1736063307441308000,1736063307990504000,1736063307997047000,1736063312382420000,1736063312385961000,4961,549,4385
225,1736063307427157000,1736063307440883000,1736063308074799000,1736063308079199000,1736063313347489000,1736063313350836000,5923,633,5268
228,1736063307441437000,1736063307453481000,1736063308177849000,1736063308182180000,1736063313347609000,1736063313350813000,5909,724,5165
227,1736063307439178000,1736063307450688000,1736063308075143000,1736063308078982000,1736063314425100000,1736063314428875000,6989,624,6346
226,1736063307439702000,1736063307452033000,1736063308177850000,1736063308182239000,1736063315348357000,1736063315351878000,7912,725,7166
229,1736063307440258000,1736063307451749000,1736063308125708000,1736063308130442000,1736063316461507000,1736063316464744000,9024,673,8331
234,1736063317459941000,1736063317474320000,1736063318092449000,1736063318098447000,1736063319366400000,1736063319370962000,1911,618,1267
231,1736063317454601000,1736063317472373000,1736063318067153000,1736063318072826000,1736063319457546000,1736063319461320000,2006,594,1384
232,1736063317454692000,1736063317474310000,1736063318087195000,1736063318092449000,1736063320393854000,1736063320396999000,2942,612,2301
239,1736063317472394000,1736063317478534000,1736063318055077000,1736063318062285000,1736063321480936000,1736063321484942000,4012,576,3418
235,1736063317463363000,1736063317475246000,1736063318083035000,1736063318087195000,1736063322466699000,1736063322470842000,5007,607,4379
236,1736063317462894000,1736063317474888000,1736063318144860000,1736063318149434000,1736063322466702000,1736063322470842000,5007,669,4317
233,1736063317456325000,1736063317475477000,1736063318088262000,1736063318095798000,1736063323476152000,1736063323479476000,6023,612,5380
